flowerID,leafID,contrast,visual_system
flower_Melaleuca_conothamnoides,leaves_Eremophila_calorhabdos,4.17766267,USML
flower_Melaleuca_conothamnoides,leaves_Scholtzia_spathulata,2.415449198,USML
flower_Melaleuca_conothamnoides,leaves_Goodenia_sp,3.901793338,USML
flower_Melaleuca_conothamnoides,leaves_Eremophila_hygrophana,10.19390671,USML
flower_Melaleuca_conothamnoides,leaves_Eremophila_georgei,3.734095645,USML
flower_Melaleuca_conothamnoides,leaves_Eucalyptus_sp1,3.630263159,USML
flower_Melaleuca_conothamnoides,leaves_Eucalyptus_sp2,3.975739616,USML
flower_Melaleuca_conothamnoides,leaves_Eucalyptus_sp3,4.012907442,USML
flower_Melaleuca_conothamnoides,leaves_Callistemon_salignus,6.583573959,USML
flower_Melaleuca_conothamnoides,leaves_Grevillea_x_semperflorens,2.323354894,USML
flower_Melaleuca_conothamnoides,leaves_Senna_artemisioides,3.820510787,USML
flower_Melaleuca_conothamnoides,leaves_Senna_sp,2.945784478,USML
flower_Melaleuca_conothamnoides,leaves_Chorizema_cordatum,3.361821869,USML
flower_Melaleuca_conothamnoides,leaves_Melaleuca_spathulata,2.295481481,USML
flower_Melaleuca_conothamnoides,leaves_Phebalium_sp,4.467270341,USML
flower_Melaleuca_conothamnoides,leaves_Grevillea_barklyana,3.556535887,USML
flower_Melaleuca_conothamnoides,leaves_Acacia_spilleriana,2.971898825,USML
flower_Melaleuca_conothamnoides,leaves_Ozothamnus_diosmifolius,2.224200028,USML
flower_Melaleuca_conothamnoides,leaves_Eriostemon_australasius,4.425008667,USML
flower_Melaleuca_conothamnoides,leaves_Chamelaucium_.Lilac_Spring.,2.27477415,USML
flower_Melaleuca_conothamnoides,leaves_Epacris_impressa_.Bega.,2.423624118,USML
flower_Melaleuca_conothamnoides,leaves_Epacris_longiflora,3.299342664,USML
flower_Melaleuca_conothamnoides,leaves_Actinotus_helianthi,4.551867669,USML
flower_Melaleuca_conothamnoides,leaves_Leptospermum_liversidgei,2.662391601,USML
flower_Melaleuca_conothamnoides,leaves_Leptospermum_.Freya.,2.70103173,USML
flower_Scholtzia_capitata,leaves_Eucalyptus_celastroides,3.848943715,USML
flower_Scholtzia_capitata,leaves_Melaleuca_conothamnoides,3.691782518,USML
flower_Scholtzia_capitata,leaves_Scholtzia_capitata,5.631995112,USML
flower_Scholtzia_capitata,leaves_Eremophila_laanii,2.509300111,USML
